#CODE;RUSSIAN;x
NOT_ALREADY_NEGOTIATED;НЕ является предметом переговоров;x
force_back_tactic;Отпор;x
gray_wall_tactic;Серая стена;x
crushing_charge_tactic;Сокрушительная атака;x
EVTDESC_RoI_115;Четыре традиции индуизма: шиваизм, вайшнавизм, шактизм и смартизм. Вы решили избрать новый путь, но каким он будет?;x
EVTDESC_RoI_116;Три великих ветви буддизма: Махаяна, Ваджраяна и Тхеравада. Вы решили выбрать новую философию, но какой она будет?;x
MORAL_AUTHORITY_DESC;Моральный Авторитет религии влияет на шансы её принятия людьми и провинциями, а также на их предрасположенность к ересям. Низкое значение авторитета может помешать духовному лидеру главе принимать особые меры, такие как отлучение. Кроме того, это может привести к нестабильности и разнообразным негативным событиям в Вашей стране по мере того, как религиозные институты теряют доверие народных масс.;x
MODIFIER_CHURCH_OPINION;Мнение вассального духовенства;x
CANNOT_AFFORD_THE_PIETY;§R$PIETYNAME$ в недостатке!§W\n;x
HIRE_ORDER_DESC;Нанять отряд §Y$TITLE$§W за §Y$COST$§W очков благочестия. (Он соберётся в ближайшем к округу §Y$CAPITAL$§W месте).;x
expel_the_jomsvikings_desc;Я могу изгнать йомсвикингов из страны и захватить их замки. Однако столь нечестивый акт не останется без внимания...;x
