#CODE;RUSSIAN;x
#TITLE_CREATION_HAS_OWNER;Вы не можете создавать или узурпировать титулы, пока владеете временным титулом.;x
convince_to_straighten_up_desc;Попытаться убедить человека по имени §Y[This.GetBestName]§! исправить свой поступок. Нет никакой гарантии, что это возымеет успех, но наличие развитого навыка "Образованность" или "Дипломатия" поспособствует успеху.;x
EVTDESC91300;Вчера я избил торговца пряностямии за то, что тот посмел взглянуть мне в глаза. Теперь, вероятно, многие думают, что я размяк, погряз в грехе и разврате. Стал проклятым декадантом.;x
EVTOPTA91300;Эй, менестрель, сыграй другую песню!;x
EVTDESC91350;[GetFromFromRelation] [FromFrom.GetBestName] утверждает, что мой греховный образ жизни позорит всю династию. [FromFrom.GetSubjectPronounCap] использует своё влияние, чтобы защитить Дом [Root.GetOnlyDynastyName], но настоятельно рекомендует мне искать напутствия в лице идеального примера, поданного Пророком (да благословит его Аллах).;x
EVTOPTA91350;Это моя жизнь, что хочу - то и делаю!;x
EVTOPTB91350;Я попробую, и да поможет мне [Root.Religion.GetRandomGodName]!;x
EVTDESC91351;[GetFromRelation] [From.GetBestName] отвергает всякую возможность избавиться от своего греха и порока. За это я могу объявить [From.GetHersHis] кафиром, что даст мне возможность бросить выродка в темницу, до тех пор пока я не придумаю другого пути достучаться до н[From.GetHersHis].;x
EVTOPTA91351;Призвать такфира против н[From.GetHersHis]!;x
EVTOPTB91351;Я лучше как переговорщик.;x
EVTOPTC91351;Я спасу [From.GetAbsPossPronoun] душу от пламени Джаханнама!;x
EVTOPTD91351;Пришло время стать... нетрадиционным.;x
EVTDESC91352;[GetFromRelation] [From.GetBestName] понимает, что проживает свою жизнь в соответствии с заповедями харама, и убеждает меня, что [From.GetHerHim] удалось встать на другой путь.;x
EVTOPTA91352;Хорошо. Дом [Root.GetOnlyDynastyName] должен остаться чистым!;x
EVTDESC91355;[GetFromRelation] [From.GetTitledFirstName] всё никак не сдаётся. [From.GetSubjectPronounCap] приводит всё новые аргументы в пользу того, что мне следует отказаться от своих греховных привычек и начать жизнь, как велит харам. Ради спасения своей души, династии и религии, мне нужно раскаяться.;x
EVTOPTA91355;Я знаю, что слаб. Слишком слаб!;x
EVTOPTB91355;Как бы ни было тяжело, нужно пройти этот путь!;x
EVTDESC91356;[GetFromRelation] [From.GetFirstName] слишком слаб и упрям. Я никак не могу достучаться до н[From.GetHersHis]!;x
EVTDESC91357;Мой [GetFromRelation] [From.GetBestName] осознал, что должен следовать заветам харама и заверил меня, что стремится измениться.;x
EVTDESC91360;Мой [GetFromRelation] [From.GetTitledFirstName] снова пытается убедить меня отказаться от моих запретных харамских желаний. [From.GetSubjectPronounCap] цитирует Коран и Хадис, как муфтий и угрожает мне огнями Джаханнама в посмертии...;x
EVTOPTA91360;Я похож на верующего?;x
EVTOPTB91360;Я должен присоединиться к Бекташи!;x
EVTOPTC91360;Я должен присоединиться к Ассасинам!;x
EVTOPTD91360;Я должен совершить Хадж в Мекку!;x
EVTOPTE91360;Я пожертвую деньги на благотворительность!;x
EVTDESC91361;Мой [GetFromRelation] [From.GetTitledFirstName] был тронут до слёз моими пламенными увещеваниями. [From.GetSubjectPronounCap] присоединится к священному ордену, чтобы служить Аллаху!;x
EVTOPTA91361;[From.GetSubjectPronounCap] заставил меня гордиться собой!;x
EVTDESC91362;Мой [GetFromRelation] [From.GetTitledFirstName] был тронут до слёз моими пламенными увещеваниями и немедленно отправился в Хадж к Мекке.;x
EVTOPTA91362;Благочестивый выбор!;x
EVTDESC91363;Мой [GetFromRelation] [From.GetTitledFirstName] был поражён убедительностью моих аргументов и обещал стать лучше, начав с щедрого пожертвования на благотоворительность.;x
EVTOPTA91363;Для н[From.GetHersHis] всё ещё есть надежда!;x
EVTDESC91365;Проснувшись из-за ужасной вони, я обнаруживаю свою комнату полной гниющих туш собак и свиней. Как только я шатаясь покидаю помещение, тёмная фигура подкрадывается сзади и прикладывает нож к моему горлу! Прошептав "Так выглядит твоя жизнь. А теперь представь свою смерть...", она бесследно исчезает.;x
EVTOPTA91365;[From.GetTitledFirstName] не испугает меня этим фарсом!;x
EVTOPTB91365;Возможно мне стоит подтянуть форму...;x
EVTOPTC91365;Это уже слишком... Тщетно бытие!;x
EVTDESC91366;Я устроил неприятное "пробуждение" для декадента, коим является мой [GetFromRelation] [From.GetTitledFirstName], но [From.GetSubjectPronoun] упрямо остаётся приверженным своему гедонизму, позоря наш Дом.;x
EVTDESC91367;Похоже, небольшой устроенны мной ночной кошмар, который пережил [GetFromRelation] [From.GetTitledFirstName], сработал. В страхе он заверяет, что откажется от позорного гедонизма!;x
EVTDESC91368;Похоже, устроенное мной ночное представление, которое получил [GetFromRelation] [From.GetTitledFirstName], оказалось слишком шокирующим. [From.GetSubjectPronounCap] решил сброситься с башни  вместо того, чтобы встать на Путь Истинный и жить как праведный мусульманин!;x
EVTOPTA91368;Стыдоба! Хорошее избавление.;x
EVTTOOLTIP91351;[This.GetFirstName] услышит, что [This.GetHerHim] не следует лезть не в своё дело!;x
EVTTOOLTIP91352;[This.GetFirstName] выслушает обещания вести праведную жизнь!;x
EVTTOOLTIP91355;[This.GetFirstName] выслушает признания;x
EVTTOOLTIP91360;[This.GetFirstName] выслушает лучшие религиозные аргументы;x
EVTTOOLTIP91365;Устроить грязное ночное представление, [This.GetFirstName] напугается в своей комнате.;x
patron_shiva;Божество-покровитель: Шива;x
patron_vishnu;Божество-покровитель: Вишну;x
patron_brahma;Божество-покровитель: Брахма;x
patron_kali;Божество-покровитель: Кали;x
patron_ganesha;Божество-покровитель: Ганеша;x
patron_ganga;Божество-покровитель: Ганга;x
hold_tiger_hunt;Организовать охоту на тигров.;x
hold_tiger_hunt_desc;Охота на тигров не только благородна, но и хорошая причина встретиться со своими вассалами для обсуждения важных дел и налаживания отношений.;x
#indian_pilgrimage;;x
#indian_pilgrimage_desc;;x
choose_hindu_patron_deity;Выбрать божество-покровителя;x
choose_hindu_patron_deity_desc;Возможен выбор персонального божества покровителя из пантеона индуистской религии. Люди будут ассоциировать Ваше правление с покровителем, и некоторые аспекты в правлении будут усилены, однако у всего есть своя цена. Некоторые считают, что лучше оставаться нейтральным, дабы не вызвать ничей гнев.;x
EVTDESC_RoI_100;Это три бога Тримурти, Великой Троицы. Нужно выбрать одного из них в качестве божества покровителя.;x
EVTOPTA_RoI_100;Справедливый Шива с Его трезубцем.;x
EVTOPTB_RoI_100;Всемогущий, коронованный Вишну.;x
EVTOPTC_RoI_100;Великий Брахма, четырехликий.;x
EVTOPTD_RoI_100;Есть и другие могущественные божества...;x
EVTDESC_RoI_101;Это все могущественные божества. Выбор одного из них покровителем послужит свидетельством мощи моей династии.;x
EVTOPTA_RoI_101;Кали, убийца и посредник Времени.;x
EVTOPTB_RoI_101;Ганеша, помогающий.;x
EVTOPTC_RoI_101;Ганга Очищающая.;x
EVTOPTD_RoI_101;С другой стороны, я могу ассоциировать себя с одним из Тримурти...;x
EVTDESC_RoI_10001;[GetFromRelation] [From.GetFirstName] имеет странное родимое пятно, очень похожее на одно из тех, которые имеет [GetFromReincarnationRelation] [From.Reincarnation.GetBestName]. Может это перевоплощение?;x
EVTOPTA_RoI_10001;Такова [From.Reincarnation.GetAbsPossPronoun] карма.;x
EVTOPTB_RoI_10001;Нет, этот Атман другой.;x
EVTDESC_RoI_10002;Иногда, я думаю о семье из своей прошлой жизни. Где же все мои старые друзья сейчас?;x
EVTOPTA_RoI_10002;Мне их не хватает...;x
#EVTDESC_RoI_10003;[GetFromRelation] показывает все признаки перерождения человек, известного как [GetFromReincarnationRelation] [From.Reincarnation.GetFirstName]. [From.GetFirstName] часто говорит о своих старых друзьях и семье, многих даже называя правильно.;x
EVTOPTA_RoI_10003;Как же всё-таки они похожи...;x
EVTOPTB_RoI_10003;Думаю, [From.GerHerHim] следует стать новой личностью.;x
EVTDESC_RoI_10010;Мои наставники говорят, что [GetReincarnationRelation] [Root.Reincarnation.GetFirstName] всё больше проявляется во мне, хотя мои собственные смутные воспоминания о прошлой жизни быстро уходят.;x
EVTOPTA_RoI_10010;Я чувстую будто... это я!;x
#EVTDESC_RoI_10011;[GetFromRelation] [From.GetFirstName] с каждым днём действует всё больше своё прошлое воплощение - [From.Reincarnation.GetTitledFirstName]!;x
EVTOPTA_RoI_10011;Как восхитительна Самсара!;x
EVTDESC_RoI_10020;"[Root.Reincarnation.Killer.GetFirstName]!" - Вы, кричите, проснувшись от ужасного кошмара, в котором Вас убили. Как только прибегает стража, Вы успокаиваетесь и понимаете, что это всего лишь сон. Однако Вы помните имя человека, который убил Вас в прошлой жизни - [Root.Reincarnation.Killer.GetBestName]!;x
EVTOPTA_RoI_10020;Это порочное отродье ракшаса!;x
EVTDESC_RoI_10021;Когда Вы праздно смотрите на воду, Вас вдруг охватывает чувство глубокой любви, а затем сладчайшие воспоминания. Вы вспоминаете, как предавались любовным утехам - [Root.Reincarnation.Spouse.GetFirstName] в другом бассейне с водой, в другом лесу, в другой жизни...;x
EVTOPTA_RoI_10021;Ах, [Root.Reincarnation.Spouse.GetFirstName], моя любовь, где же ты сейчас?;x
EVTDESC_RoI_10022;Наблюдая за тем, как балуются дети, Вы неожиданно вспоминаете другого ребенка, [Root.Reincarnation.GetFirstName], Вашего первенца, когда Вы были тем, кого звали [Root.Reincarnation.GetBestName].;x
EVTOPTA_RoI_10022;Как же крутится колесо...;x
ATTACHMENT_REQUIREMENTS_TOOLTIP;Целевой отряд должен иметь одинаковый статус (налётчик/обычный), быть твоим союзником или вассалом и его собственник должен иметь тот же или выше феодальный ранг.;x
MATCHMAKING_FILTER_NOPASSWORD;Нет пароля;x
MATCHMAKING_FILTER_NOTFULL;Не полон;x
MATCHMAKING_FILTER_HASPLAYERS;Есть игроки;x
MATCHMAKING_FILTER_MOD;Мод;x
MATCHMAKING_FILTER_VERSION;Версия;x
MATCHMAKING_SERVER_FILTER_SEARCH;Поиск по тэгам;x
MATCHMAKING_SERVER_FILTER_SEARCH_NAMES;Поиск по именам;x
MESSAGE_BUTTON_SEARCH;Поиск;x
MATCHMAKING_SERVERS_DOSEARCH;Поиск;x
MATCHMAKING_REFRESH_LAN;Обновить ЛВС;x
MATCHMAKING_REFRESH_INTERNET;Обновить Интернет;x
MATCHMAKING_JOIN_SERVER;Присоединиться;x
MATCHMAKING_HOST_SERVER;Создать;x
MATCHMAKING_SERVER_PASSWORD;Пароль;x
MATCHMAKING_SERVER_NAME;Имя;x
MATCHMAKING_SERVER_SLOTS;Слоты;x
MATCHMAKING_SERVER_VERSION;Версия;x
MATCHMAKING_SERVER_TAGS;Тэги;x
MATCHMAKING_SERVER_MOD;Мод;x
MATCHMAKING_SERVER_STATUS;Статус;x
MATCHMAKING_SERVER_PING;Пинг;x
FRIENDS;Друзья;x
SEND;Отправить;x
MATCHMAKING_TITLE;Автоподбор;x
MATCHMAKING_SERVERS;Серверы;x
MATCHMAKING_COMMUNITY;Коммьюнити;x
CONNECT_TO_IP;Подключиться к ID;x
MATCHMAKING_SERVER_CONNECT_TITLE;Подключиться к серверу;x
MATCHMAKING_SERVER_CONNECT_ADDRESS;ID сервера;x
MATCHMAKING_SERVERS_SEARCHING;Поиск серверов...;x
MATCHMAKING_SERVERS_NOSERVERS;Серверы не найдены!;x
MATCHMAKING_SERVER_STATUS_STARTING;Стартуем;x
MATCHMAKING_SERVER_STATUS_RUNNING;Запускается;x
MATCHMAKING_SERVER_STATUS_STOPPED;Остановленно;x
MATCHMAKING_SERVER_HOST_TAGS;Тэги;x
MATCHMAKING_SERVER_DESC;Описание;x
become_kshatriya;Присоединиться к касте Кшатрии.;x
become_kshatriya_desc;Как правило, сменить касту в Индии невозможно. Однако, для решительного правителя, готового  пойти на взятки и подарки, вкупе с риском навлечь на себя гнев индуистского общества, даже невозможное может быть достигнуто. А спустя несколько поколений, кто знает, люди могут даже забыть, что [Root.GetHerHis] семья не всегда принадлежала к касте Кшатрии...\nВысокообразованная персона впечатляет сильнее, поэтому весь процесс обойдётся дешевле.;x
opinion_changed_caste;Сменил касту;x
opinion_married_wrong_caste;Вступил в брак с представителем неподходящей касты;x
opinion_ruler_wrong_caste_hindu;Правитель неподходящей касты;x
opinion_ruler_wrong_caste_non_hindu;Правитель неподходящей касты;x
opinion_low_caste;Низкой касты;x
restore_ecumenical_patriarchate;Восстановить Вселенский Патриархат;x
d_followers_arjuna;Последователи Арджуны;x
d_followers_arjuna_adj;Арджунск;x
d_ashokas_chosen;Избранный Ашокой;x
d_ashokas_chosen_adj;Ашокск;x
d_bulls_rishabha;Быки Ришабхи;x
d_bulls_rishabha_adj;Ришабхск;x
job_spiritual_indian_group;Упадхайя;x
title_master_of_the_royal_elephants;Хозяин королевских слонов.;x
title_master_of_the_royal_elephants_desc;Великие монархи набирают боевых слонов в армию для большего эффекта. Но кроме этого, слоны являются символом стабильности, силы и устойчивости. Поэтому очень важно, чтобы слоны хорошо содержались. К тому же, должность Мастера Королевских Слонов очень престижна.;x
title_royal_builder;Королевский архитектор;x
title_royal_builder_desc;Могущественные правители всегда будут стремиться расширить свои дворцы и построить новые. Позиция королевского архитектора является очень престижной, хотя обладатель не обязательно владеет необходимыми навыками. Обычно кто-то другой выполняет настоящую работу.;x
title_court_poet_india;Придворный поэт;x
title_court_poet_india_desc;Поэзия является признанным искусством в индийской культуре, поэтому должность придворного поэта всегда была престижной позицией.;x
ca_culture_indian_1;Загон для боевых слонов.;x
ca_culture_indian_2;Загон для боевых слонов.;x
ca_culture_indian_3;Загон для боевых слонов.;x
ca_culture_indian_4;Загон для боевых слонов.;x
ca_culture_indian_1_desc;В этом месте разводят и тренируют бесстрашных боевых слонов.;x
ca_culture_indian_2_desc;В этом месте разводят и тренируют бесстрашных боевых слонов.;x
ca_culture_indian_3_desc;В этом месте разводят и тренируют бесстрашных боевых слонов.;x
ca_culture_indian_4_desc;В этом месте разводят и тренируют бесстрашных боевых слонов.;x
RETTYPE_CUL_INDIAN;Пехота со стальными луками;x
war_elephant_leader;Мастер боевых слонов;x
war_elephant_leader_desc;Этот человек овладел тактикой использования боевых слонов.;x
jungle_terrain_leader;Эксперт по джунгям;x
jungle_terrain_leader_desc;Этот человек - эксперт в управлении войсками в джунглях.;x
hold_diwali_feast_hindu;Организовать пир Дивали;x
hold_diwali_feast_hindu_desc;Дивали - традиционное индийское пиршество. На нем празднуется триумф света над тьмой, добра над злом и надежды над отчаянием.;x
hold_diwali_feast_buddhist;Организовать пир Дивали;x
hold_diwali_feast_buddhist_desc;Дивали - традиционное индийское пиршество. На нем празднуется триумф света над тьмой, добра над злом и надежды над отчаянием.;x
hold_diwali_feast_jain;Организовать пир Дивали;x
hold_diwali_feast_jain_desc;Дивали - традиционное индийское пиршество. На нем празднуется триумф света над тьмой, добра над злом и надежды над отчаянием. Для джайнов это также время почтения Махавиры, двадцать четвертого Тиртханкары.;x
hold_diwali_feast_kali_puja;Организовать пир Кали Пуджи;x
hold_diwali_feast_kali_puja_desc;Пока большинство Индийцев отмечают осенью пир Дивали, праздник Кали Пуджи отмечается во имя богини Кали индусами в северо-восточных частях Индии, и везде где особо почитается богиня смерти, времени и перемен. Ритуалы в честь Кали часто включают в себя такие вещи как черепа и кровь.;x
holding_diwali_feast;Отмечает праздник Дивали;x
holding_kali_puja_feast;Отмечает праздник Кали Пуджи;x
convert_to_hinduism;Конвертировать в Индуизм;x
convert_to_hinduism_desc;У индийских религий так много традиций и такое смешение людских убеждений, что невозможно просто поменять религию. Такой выбор можно сделать раз в жизни.;x
convert_to_buddhism;Конвертировать в Буддизм;x
convert_to_buddhism_desc;У индийских религий так много традиций и такое смешение людских убеждений, что невозможно просто поменять религию. Такой выбор можно сделать раз в жизни.;x
convert_to_jainism;Конвертировать в Джаинизм;x
convert_to_jainism_desc;У индийских религий так много традиций и такое смешение людских убеждений, что невозможно просто поменять религию. Такой выбор можно сделать раз в жизни.;x
#convert_indian_branch;Сменить религиозную ветвь;x
convert_indian_branch_desc;Человек, следующий индийским традициям, может перейти от одной религиозной ветви к другой. Такой выбор, однако, можно сделать лишь раз в жизни.;x
EDUCATE_CHARACTER_INTERACTION_6;§Y[ChildExtra.GetFirstName]§! может принять §Y[AdultExtra.Culture.GetName]ую§! культуру!;x
EDUCATE_CHARACTER_INTERACTION_6B;§Y[ChildExtra.GetFirstName]§! может принять §Y[AdultExtra.Religion.GetName]§!!;x
INTERACTION_IS_DISTANCE_LIMITED;[Recipient.GetBestName] не так далеко, чтобы ответить нам.;x
EVTDESC_RoI_110;Индуизм - разнообразная религия с четырьмя главными ветвями: Шаивизм, Ваишнавизм, Шактизм и Смартизм. И когда Вы принимаете её, должнывы выбрать одну из них.;x
EVTOPTA_RoI_110;Шаивизм, почтение Шивы.;x
EVTOPTB_RoI_110;Ваишнавизм, почтение Вишну.;x
EVTOPTC_RoI_110;Шактизм, почтение Шакти.;x
EVTOPTD_RoI_110;Смартизм, почтение единства божеств.;x
EVTDESC_RoI_111;Буддизм характеризуется огромным плюрализмом, но главными являются три основных направления: Махаяна, Ваджраяна и Тхеравада. Вам необходимо выбрать одно из них принимая его.;x
EVTOPTA_RoI_111;Махаяна, Великая колесница.;x
EVTOPTB_RoI_111;Ваджраяна, Две истины.;x
EVTOPTC_RoI_111;Тхеравада, Учение старцев.;x
EVTDESC_RoI_112;Джайнизм – это религия с сильными традициями, разделенная на две основные ветви: Дигамбара и Шветамбара. Вы должны выбрать одну из них после её принятия.;x
EVTOPTA_RoI_112;Дигамбара, одетые в воздух.;x
EVTOPTB_RoI_112;Шветамбара, облаченные в белое.;x
EVTDESC_RoI_117;Две традиции джайнизма – Дигамбара, одетые в воздух, и Шветамбара, облаченные в белое. Вы решили отречься от старого и ступить на новый путь.;x
EVTOPTA_RoI_117;Я теперь Дигамабара джайнист.;x
EVTOPTB_RoI_117;Я теперь Шветамбара джайнист.;x
evt_relative_might_revolt;§RВНИМАНИЕ:§! [From.GetFirstName] может отреагировать на Ваше решение!;x
EVTOPTD37001;Дипломатично отказаться;x
EVTOPTB37007;Я ПОЛУЧУ то, что по праву МОЁ!;x
EVTDESC37011;[From.GetBestName] при дворе правителя, известного как [From.Liege.GetTitledName] является ко мне, не скрывая своего недовольства поводу того, что [From.GetAbsPossPronoun] [FromScope.GetLiegeRelation] может отказать [From.GetHerHim] в титуле земли [From.Liege.PrimaryTitle.GetFullName]. [From.GetTitledFirstName] хочет собрать армию и взять этот титул силой!;x
EVTOPTA37011;Полагаю, я могу позволить это...;x
EVTDESC37012;[FromFrom.GetTitledFirstName] не скрывает своей злости из-за моего отказа предоставить [FromFrom.GetHerHim] титул, и теперь покидает государство, чтобы присоединиться к правителю по имени [From.GetTitledName], чтобы собрать войска и забрать то, что по праву его!;x
EVTOPTA37012;Мерзкий предатель!;x
nestorian_DESC;Несторианство – ранняя ветвь христианства, в которой Христос имеет две отдельные природы: божественную и человеческую. Это противоположно монофизитской позиции, согласно которой Христос имеет только одну природу. Номинальный глава Несторианской церкви – Патриарх Восточный. Реализованные возможности в игре:\n§Y*§! Всегда есть Патриарх Восточный, даже если Антиохия пала\n§Y*§! Пентархия: пять пентархов и автокефальных патриархов\n§Y*§! Патриархи могут давать развод\n§Y*§!Патриарх Восточный может давать повод для войны Завоевание\n§Y*§! Патриархи могут отлучать несторианцев от церкви.;x
THE_DEMIURGE;Демиург;x
paulician;Павликианство;x
paulician_DESC;Павликианство – христианская гностическая ересь, испытавшая влияние манихейства, возникшая в Армении. Игровые особенности:\n§Y*§! Всегда есть Павликанский Патриарх, даже если Константинополь пал\n§Y*§ !Пентархия: пять пентархов и автокефальных патриархов\n§Y*§! Патриархи могут давать развод\n§Y*§! Павликианский Патриарх может давать повод для войны "Завоевание"\n§Y*§! Патриархи могут отлучать павликиан от церкви;x
d_paulician;Павликианский Патриархат;x
d_paulician_adj;Павликианство;x
c_lori_adj;Лориан;x
messalian;Мессалианство;x
messalian_DESC;Мессалиане, или Евхиты ("молящиеся") - еретическая христианская секта, возникшая в Месопотамии под влиянием дуалистических верований, таких как зороастризм. Евхиты верят, что Бог может быть воспринят плотскими чувствами, и что это восприятие необходимо для достижения совершенства. Каждый человек рождается с внутренним демоном, и только интенсивная молитва может изгнать его. Они также считают, что Люцифер - старший сын Бога, сила добра, и что инцест священен, так как практиковался детьми Адама и Евы. Они не имеют никаких формальных обрядов и строгой церковной иерархии. Игровые особенности:\n§Y*§! Не имеют духовного главы\n§Y*§! Женщины могут становиться священниками\n§Y*§! Правители, вступая в брак с близкими родственникми, поощряются вассалами;x
THE_ASCETICUS;Аскетик;x
THE_PANTOKRATOR;Пантократор;x
